,refundAmount,refundPrice,saleAmount,salePrice,serialNum
749,0,0.00,1.00,62.50,6928710602212
750,0,0.00,3.00,9.00,6938309700526
751,0,0.00,60.00,180.00,6938309700533
752,0,0.00,19.00,180.50,6958770001403
753,0,0.00,3.00,41.70,6958770002028
754,0,0.00,3.00,41.70,6958770001878
755,0,0.00,1.00,14.30,6931303688579
764,0,0.00,6.00,87.00,8993175537391
765,0,0.00,8.00,80.00,6371251251
766,0,0.00,6.00,47.40,6971196385179
767,0,0.00,12.00,94.80,6971196385070
768,0,0.00,1.00,7.90,6971196385162
769,0,0.00,1.00,26.80,6901333110524
770,0,0.00,2.00,60.00,6901333980196
771,0,0.00,2.00,53.60,6901333212112
772,0,0.00,29.00,420.50,1008861919352159
773,0,0.00,4.00,131.20,2010312235607
774,0,0.00,9.00,179.10,1008861919350360
775,0,0.00,6.00,888.00,6974622051075
776,0,0.00,9.00,223.20,2302122979121
777,0,0.00,8.00,120.00,6916323963226
778,0,0.00,3.00,54.00,6923228400381
779,0,0.00,4.00,37.20,4712832449983
780,0,0.00,2.00,32.00,1008861919352135
781,0,0.00,6.00,299.40,4014400924268
782,0,0.00,1.00,44.00,4897025882591
783,0,0.00,1.00,44.00,4897025882539
784,0,0.00,2.00,88.00,4897025882546
785,0,0.00,67.00,482.40,6921168595099
786,0,0.00,239.00,881.91,6921168594993
787,0,0.00,90.00,252.00,6921168595167
788,0,0.00,81.00,226.80,6921168595143
789,0,0.00,119.00,439.11,6921168595006
