,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
566,10.20,0,0.00,2,13.50,27.00,6935036401849
567,9.40,0,0.00,2,13.00,26.00,6935036401306
568,24.50,0,0.00,2,30.00,60.00,6974856040098
569,24.50,0,0.00,6,30.00,180.00,6974856040081
570,18.00,0,0.00,3,23.80,71.40,4897038890972
571,18.00,0,0.00,2,23.80,47.60,4897038890965
572,14.00,0,0.00,2,17.80,35.60,4897038892327
573,12.00,0,0.00,1,15.00,15.00,4897038892372
574,8.50,0,0.00,4,11.50,46.00,4897038893379
575,8.50,0,0.00,5,11.50,57.50,4897038893362
576,8.50,0,0.00,4,11.50,46.00,4897038892761
577,8.50,0,0.00,4,11.50,46.00,4897038892754
578,46.00,0,0.00,4,58.50,234.00,8809022200885
579,14.50,0,0.00,6,18.50,111.00,6971657870503
580,14.50,0,0.00,3,18.50,55.50,6971657870893
581,14.50,0,0.00,1,18.50,18.50,6971657870343
582,6.50,0,0.00,1,8.30,8.30,6971426300491
583,6.50,0,0.00,7,8.30,58.10,6971426300477
584,10.80,0,0.00,5,13.90,69.50,4897076061181
585,9.50,0,0.00,1,12.00,12.00,9555118659530
586,11.00,0,0.00,1,13.80,13.80,4897076062379
587,11.00,0,0.00,2,13.80,27.60,4897076062393
596,17.00,0,0.00,1,22.00,22.00,6904432813037
597,26.50,0,0.00,1,33.50,33.50,6905014000081
598,25.00,0,0.00,2,28.00,56.00,6905014000890
599,21.50,0,0.00,1,27.80,27.80,6973768111179
600,11.50,0,0.00,2,15.00,30.00,4897119860832
601,11.50,0,0.00,3,15.00,45.00,4897119860825
602,13.60,0,0.00,1,17.00,17.00,4710484398970
603,25.00,0,0.00,1,29.80,29.80,4979365122725
604,33.00,0,0.00,2,38.80,77.60,6971062129289
605,46.00,0,0.00,1,49.00,49.00,6971062128855
606,25.00,0,0.00,1,29.80,29.80,4979365122718
607,10.80,0,0.00,1,15.00,15.00,6975840950034
608,10.80,0,0.00,2,15.00,30.00,6975840950058
609,10.80,0,0.00,3,15.00,45.00,6975840950041
610,12.00,0,0.00,1,16.00,16.00,6975840950089
611,12.00,0,0.00,1,16.00,16.00,6975840950096
612,23.50,0,0.00,1,31.80,31.80,6975840950065
613,64.00,0,0.00,5,79.00,395.00,6970480320292
614,67.00,0,0.00,6,84.00,504.00,6948042400034
615,67.00,0,0.00,3,84.00,252.00,6948042403929
616,56.00,0,0.00,10,69.90,699.00,6948042400027
619,31.00,0,0.00,9,37.00,333.00,6921555521236
621,174.00,0,0.00,6,219.00,1314.00,8412253001437
622,84.00,0,0.00,1,98.00,98.00,6909931264151
623,70.00,0,0.00,1,86.00,86.00,6926650313151
624,64.00,0,0.00,1,78.00,78.00,6926650331483
635,4.60,0,0.00,3,6.00,18.00,6926410320214
636,4.60,0,0.00,8,6.00,48.00,6926410321501
637,4.60,0,0.00,4,6.00,24.00,6926410330954
638,16.00,0,0.00,4,20.80,83.20,6971885311816
639,16.00,0,0.00,2,20.80,41.60,6971885311892
640,10.00,0,0.00,7,12.70,88.90,6971284201244
641,10.00,0,0.00,12,12.70,152.40,6971284201206
642,7.00,0,0.00,5,8.90,44.50,6971284201220
643,5.70,0,0.00,1,7.50,7.50,6941541006349
644,4.50,0,0.00,1,5.90,5.90,6941541002068
645,5.70,0,0.00,1,7.50,7.50,6941541005236
646,4.50,0,0.00,1,5.90,5.90,6941541002129
647,8.50,0,0.00,2,12.50,25.00,6972779770023
648,8.50,0,0.00,10,12.50,125.00,6972779770016
649,15.50,0,0.00,5,19.50,97.50,6971807592699
650,15.50,0,0.00,8,19.50,156.00,6971807593382
651,15.50,0,0.00,4,19.50,78.00,6971807593764
652,15.50,0,0.00,4,22.80,91.20,6920509001251
653,24.80,0,0.00,8,36.50,292.00,6920509001404
655,5.70,0,0.00,87,7.70,669.90,8859015700168
656,2.10,0,0.00,1,2.50,2.50,6936571950052
657,1.80,0,0.00,26,2.40,62.40,6922255447833
658,2.20,0,0.00,157,2.40,376.80,6903004568511
659,4.40,0,0.00,4,5.40,21.60,6974906990595
660,4.40,0,0.00,3,5.40,16.20,6974906990588
661,3.50,0,0.00,2,4.50,9.00,6974800840286
670,3.50,0,0.00,1,4.50,4.50,6974800840330
